regime_key,case_name,residual_csv_path,events_csv_path,n_candidates,k,n_events_written,n_missing_coord_nodes_skipped,tau_rel,tau_abs,p,kmin,kmax,status
G3_S_H,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_1and3line_3_arc_78910\events_topk.csv,71489,2145,2145,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\Ip_1track_1_arc_345\events_topk.csv,24682,1000,1000,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_2_arc_all_tracks_222\events_topk.csv,18679,1000,1000,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_3track_1_arc_678\events_topk.csv,42484,1275,1275,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,ip_first_track_3arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_first_track_3arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_first_track_3arc_78910\events_topk.csv,52923,1588,1588,0,3.0,0.0,0.03,1000,10000,OK
G3_S_H,ip_frst_Arc_defect_all_tracks_111,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_H\ip_frst_Arc_defect_all_tracks_111\events_topk.csv,235288,7059,7059,0,3.0,0.0,0.03,1000,10000,OK
G3_S_L,ip_1and3line_3_arc_78910,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\ip_1and3line_3_arc_78910\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\ip_1and3line_3_arc_78910\events_topk.csv,104657,3140,3140,0,3.0,0.0,0.03,1000,10000,OK
G3_S_L,Ip_1track_1_arc_345,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\Ip_1track_1_arc_345\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\Ip_1track_1_arc_345\events_topk.csv,54111,1623,1623,0,3.0,0.0,0.03,1000,10000,OK
G3_S_L,ip_2_arc_all_tracks_222,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\ip_2_arc_all_tracks_222\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\ip_2_arc_all_tracks_222\events_topk.csv,27625,1000,1000,0,3.0,0.0,0.03,1000,10000,OK
G3_S_L,ip_3track_1_arc_678,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\residuals_stress\G3_S_L\ip_3track_1_arc_678\stress_residual.csv,C:\Users\Priyanshu\Desktop\new_train\training_residuals\DEPLOYMENT_TRAINING\events_equivstress\G3_S_L\ip_3track_1_arc_678\events_topk.csv,73696,2211,2211,0,3.0,0.0,0.03,1000,10000,OK
